year,Manley
1880,8
1881,0
1882,11
1883,5
1884,9
1885,9
1886,0
1887,9
1888,10
1889,10
1890,9
1891,8
1892,8
1893,0
1894,6
1895,0
1896,9
1897,15
1898,8
1899,11
1900,8
1901,0
1902,6
1903,5
1904,16
1905,6
1906,7
1907,5
1908,8
1909,7
1910,15
1911,13
1912,19
1913,27
1914,34
1915,54
1916,47
1917,61
1918,61
1919,48
1920,48
1921,54
1922,53
1923,51
1924,48
1925,50
1926,44
1927,67
1928,45
1929,40
1930,33
1931,37
1932,25
1933,22
1934,31
1935,34
1936,38
1937,32
1938,31
1939,25
1940,32
1941,28
1942,34
1943,26
1944,23
1945,40
1946,22
1947,29
1948,25
1949,16
1950,29
1951,28
1952,18
1953,25
1954,26
1955,24
1956,21
1957,23
1958,25
1959,12
1960,12
1961,11
1962,14
1963,8
1964,18
1965,6
1966,15
1967,6
1968,7
1969,6
1970,18
1971,10
1972,8
1973,8
1974,6
1975,11
1976,13
1977,0
1978,0
1979,11
1980,10
1981,7
1982,11
1983,8
1984,0
1985,0
1986,0
1987,8
1988,9
1989,16
1990,7
1991,5
1992,9
1993,7
1994,0
1995,0
1996,0
1997,5
1998,0
1999,8
2000,6
2001,0
2002,7
2003,0
2004,0
2005,0
2006,0
2007,5
2008,5
2009,0
2010,0
2011,0
2012,0
