year,Mathilde
1880,11
1881,11
1882,14
1883,12
1884,18
1885,18
1886,21
1887,27
1888,26
1889,25
1890,25
1891,26
1892,27
1893,28
1894,32
1895,30
1896,22
1897,22
1898,29
1899,12
1900,24
1901,21
1902,20
1903,15
1904,18
1905,12
1906,26
1907,16
1908,18
1909,17
1910,24
1911,27
1912,26
1913,21
1914,25
1915,23
1916,26
1917,18
1918,32
1919,22
1920,21
1921,20
1922,24
1923,31
1924,26
1925,16
1926,13
1927,12
1928,9
1929,10
1930,13
1931,11
1932,7
1933,0
1934,8
1935,5
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,6
1952,7
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,6
1972,0
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,5
1986,0
1987,0
1988,0
1989,7
1990,7
1991,5
1992,8
1993,5
1994,11
1995,10
1996,6
1997,16
1998,13
1999,13
2000,18
2001,16
2002,16
2003,12
2004,13
2005,23
2006,18
2007,24
2008,18
2009,20
2010,17
2011,31
2012,22
