year,Marylou
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,7
1900,5
1901,6
1902,0
1903,5
1904,5
1905,6
1906,6
1907,0
1908,9
1909,12
1910,9
1911,14
1912,15
1913,12
1914,29
1915,42
1916,41
1917,33
1918,54
1919,65
1920,59
1921,54
1922,80
1923,91
1924,92
1925,82
1926,146
1927,282
1928,182
1929,184
1930,172
1931,178
1932,200
1933,244
1934,287
1935,300
1936,285
1937,338
1938,301
1939,315
1940,300
1941,316
1942,375
1943,373
1944,315
1945,280
1946,296
1947,286
1948,314
1949,282
1950,262
1951,253
1952,206
1953,173
1954,213
1955,168
1956,182
1957,235
1958,211
1959,222
1960,226
1961,301
1962,207
1963,207
1964,172
1965,127
1966,108
1967,90
1968,94
1969,66
1970,88
1971,72
1972,65
1973,54
1974,44
1975,45
1976,41
1977,46
1978,48
1979,34
1980,31
1981,39
1982,64
1983,41
1984,59
1985,75
1986,55
1987,54
1988,60
1989,39
1990,35
1991,42
1992,36
1993,42
1994,43
1995,33
1996,38
1997,35
1998,26
1999,26
2000,26
2001,28
2002,19
2003,15
2004,21
2005,16
2006,21
2007,25
2008,22
2009,16
2010,22
2011,22
2012,12
