year,Madeleine
1880,0
1881,5
1882,0
1883,6
1884,14
1885,8
1886,11
1887,21
1888,25
1889,14
1890,32
1891,38
1892,39
1893,35
1894,48
1895,52
1896,48
1897,43
1898,47
1899,51
1900,58
1901,45
1902,44
1903,52
1904,51
1905,41
1906,57
1907,41
1908,51
1909,66
1910,52
1911,76
1912,130
1913,118
1914,157
1915,177
1916,157
1917,160
1918,180
1919,166
1920,225
1921,242
1922,237
1923,201
1924,225
1925,223
1926,222
1927,202
1928,171
1929,173
1930,135
1931,131
1932,114
1933,122
1934,101
1935,103
1936,114
1937,150
1938,166
1939,192
1940,192
1941,208
1942,285
1943,219
1944,138
1945,157
1946,186
1947,217
1948,231
1949,217
1950,186
1951,149
1952,146
1953,144
1954,123
1955,128
1956,127
1957,111
1958,96
1959,126
1960,100
1961,111
1962,109
1963,104
1964,83
1965,82
1966,65
1967,63
1968,46
1969,44
1970,39
1971,41
1972,40
1973,39
1974,41
1975,42
1976,33
1977,40
1978,41
1979,46
1980,55
1981,47
1982,45
1983,69
1984,74
1985,95
1986,165
1987,217
1988,240
1989,288
1990,402
1991,473
1992,527
1993,661
1994,923
1995,986
1996,1085
1997,1300
1998,1423
1999,1141
2000,1153
2001,1118
2002,1069
2003,963
2004,959
2005,968
2006,978
2007,1162
2008,1250
2009,1000
2010,993
2011,980
2012,1089
