year,Margarite
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,8
1893,8
1894,7
1895,5
1896,7
1897,5
1898,8
1899,12
1900,7
1901,5
1902,14
1903,9
1904,9
1905,6
1906,5
1907,12
1908,12
1909,11
1910,9
1911,16
1912,22
1913,32
1914,35
1915,37
1916,43
1917,40
1918,47
1919,37
1920,43
1921,48
1922,39
1923,41
1924,47
1925,52
1926,26
1927,42
1928,35
1929,40
1930,37
1931,25
1932,27
1933,34
1934,27
1935,24
1936,22
1937,18
1938,23
1939,20
1940,24
1941,26
1942,25
1943,19
1944,28
1945,16
1946,13
1947,15
1948,23
1949,23
1950,28
1951,27
1952,32
1953,28
1954,20
1955,15
1956,28
1957,19
1958,11
1959,19
1960,23
1961,22
1962,15
1963,17
1964,17
1965,11
1966,13
1967,14
1968,7
1969,6
1970,6
1971,9
1972,8
1973,9
1974,7
1975,9
1976,9
1977,6
1978,5
1979,6
1980,5
1981,0
1982,0
1983,9
1984,8
1985,7
1986,0
1987,6
1988,8
1989,7
1990,9
1991,8
1992,5
1993,0
1994,7
1995,0
1996,0
1997,5
1998,6
1999,8
2000,0
2001,0
2002,0
2003,0
2004,6
2005,9
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
