year,Melvin (F),Melvin (M)
1880,0.000000,0.000511
1881,0.000000,0.000394
1882,0.000000,0.000388
1883,0.000000,0.000442
1884,0.000000,0.000390
1885,0.000000,0.000457
1886,0.000000,0.000325
1887,0.000000,0.000384
1888,0.000000,0.000397
1889,0.000000,0.000336
1890,0.000000,0.000325
1891,0.000000,0.000377
1892,0.000000,0.000341
1893,0.000000,0.000341
1894,0.000000,0.000369
1895,0.000014,0.000450
1896,0.000000,0.000445
1897,0.000014,0.000369
1898,0.000000,0.000417
1899,0.000000,0.000489
1900,0.000000,0.000513
1901,0.000000,0.000509
1902,0.000016,0.000641
1903,0.000000,0.000603
1904,0.000000,0.000580
1905,0.000012,0.000686
1906,0.000000,0.000665
1907,0.000015,0.000711
1908,0.000012,0.000749
1909,0.000018,0.000876
1910,0.000022,0.000816
1911,0.000017,0.000922
1912,0.000016,0.001199
1913,0.000012,0.001444
1914,0.000019,0.001457
1915,0.000010,0.001517
1916,0.000012,0.001543
1917,0.000012,0.001573
1918,0.000014,0.001598
1919,0.000013,0.001603
1920,0.000016,0.001644
1921,0.000017,0.001664
1922,0.000019,0.001709
1923,0.000019,0.001740
1924,0.000022,0.001750
1925,0.000014,0.001778
1926,0.000015,0.001828
1927,0.000019,0.001810
1928,0.000027,0.001878
1929,0.000018,0.001868
1930,0.000021,0.001822
1931,0.000017,0.001759
1932,0.000016,0.001788
1933,0.000018,0.001796
1934,0.000015,0.001783
1935,0.000011,0.001723
1936,0.000019,0.001793
1937,0.000012,0.001826
1938,0.000011,0.001726
1939,0.000014,0.001748
1940,0.000016,0.001709
1941,0.000012,0.001624
1942,0.000010,0.001530
1943,0.000012,0.001441
1944,0.000012,0.001393
1945,0.000009,0.001282
1946,0.000010,0.001172
1947,0.000009,0.001157
1948,0.000007,0.001173
1949,0.000010,0.001141
1950,0.000011,0.001109
1951,0.000006,0.001040
1952,0.000009,0.001033
1953,0.000008,0.000989
1954,0.000009,0.000933
1955,0.000008,0.000907
1956,0.000006,0.000881
1957,0.000007,0.000808
1958,0.000005,0.000760
1959,0.000005,0.000763
1960,0.000007,0.000725
1961,0.000006,0.000686
1962,0.000009,0.000638
1963,0.000007,0.000643
1964,0.000007,0.000625
1965,0.000006,0.000615
1966,0.000006,0.000588
1967,0.000006,0.000543
1968,0.000004,0.000532
1969,0.000006,0.000510
1970,0.000008,0.000466
1971,0.000007,0.000461
1972,0.000004,0.000463
1973,0.000004,0.000457
1974,0.000008,0.000395
1975,0.000005,0.000400
1976,0.000007,0.000384
1977,0.000005,0.000360
1978,0.000004,0.000366
1979,0.000005,0.000348
1980,0.000005,0.000321
1981,0.000002,0.000304
1982,0.000004,0.000295
1983,0.000002,0.000274
1984,0.000003,0.000260
1985,0.000003,0.000254
1986,0.000003,0.000242
1987,0.000002,0.000229
1988,0.000003,0.000242
1989,0.000002,0.000234
1990,0.000002,0.000237
1991,0.000001,0.000219
1992,0.000000,0.000204
1993,0.000000,0.000193
1994,0.000000,0.000188
1995,0.000000,0.000178
1996,0.000000,0.000161
1997,0.000000,0.000160
1998,0.000000,0.000154
1999,0.000000,0.000148
2000,0.000000,0.000137
2001,0.000000,0.000141
2002,0.000000,0.000242
2003,0.000000,0.000169
2004,0.000000,0.000159
2005,0.000000,0.000161
2006,0.000000,0.000169
2007,0.000000,0.000157
2008,0.000000,0.000149
2009,0.000000,0.000139
2010,0.000000,0.000122
2011,0.000000,0.000104
2012,0.000000,0.000107
