year,Marvis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,13
1915,25
1916,19
1917,23
1918,12
1919,32
1920,44
1921,34
1922,36
1923,32
1924,58
1925,55
1926,47
1927,42
1928,40
1929,30
1930,49
1931,30
1932,26
1933,32
1934,39
1935,33
1936,43
1937,40
1938,40
1939,45
1940,34
1941,29
1942,30
1943,41
1944,39
1945,32
1946,33
1947,42
1948,30
1949,31
1950,47
1951,33
1952,44
1953,39
1954,45
1955,40
1956,33
1957,28
1958,30
1959,29
1960,33
1961,37
1962,26
1963,26
1964,30
1965,29
1966,22
1967,19
1968,14
1969,25
1970,15
1971,31
1972,20
1973,23
1974,19
1975,10
1976,22
1977,12
1978,23
1979,22
1980,27
1981,22
1982,15
1983,37
1984,26
1985,23
1986,21
1987,14
1988,8
1989,15
1990,6
1991,13
1992,7
1993,6
1994,8
1995,8
1996,6
1997,7
1998,5
1999,0
2000,9
2001,5
2002,6
2003,8
2004,9
2005,10
2006,7
2007,10
2008,0
2009,0
2010,0
2011,8
2012,5
