year,Maranda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,0
1888,0
1889,6
1890,8
1891,5
1892,6
1893,5
1894,0
1895,6
1896,0
1897,6
1898,6
1899,0
1900,10
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,10
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,7
1917,5
1918,0
1919,6
1920,7
1921,8
1922,6
1923,6
1924,0
1925,0
1926,5
1927,7
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,8
1951,7
1952,8
1953,0
1954,6
1955,6
1956,13
1957,12
1958,12
1959,12
1960,5
1961,7
1962,16
1963,16
1964,12
1965,6
1966,14
1967,21
1968,24
1969,23
1970,30
1971,37
1972,30
1973,45
1974,155
1975,146
1976,187
1977,202
1978,220
1979,285
1980,378
1981,314
1982,335
1983,370
1984,304
1985,320
1986,279
1987,296
1988,296
1989,343
1990,380
1991,452
1992,498
1993,440
1994,616
1995,614
1996,424
1997,417
1998,359
1999,302
2000,254
2001,240
2002,189
2003,163
2004,167
2005,156
2006,121
2007,119
2008,95
2009,82
2010,64
2011,56
2012,57
