year,Medora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,10
1886,0
1887,7
1888,0
1889,5
1890,7
1891,0
1892,0
1893,0
1894,6
1895,10
1896,8
1897,0
1898,6
1899,10
1900,9
1901,6
1902,0
1903,5
1904,8
1905,5
1906,10
1907,10
1908,10
1909,5
1910,8
1911,10
1912,11
1913,8
1914,14
1915,16
1916,15
1917,20
1918,18
1919,11
1920,25
1921,15
1922,24
1923,17
1924,14
1925,0
1926,13
1927,9
1928,9
1929,12
1930,10
1931,12
1932,6
1933,0
1934,12
1935,10
1936,9
1937,10
1938,8
1939,0
1940,8
1941,5
1942,9
1943,6
1944,0
1945,0
1946,5
1947,8
1948,7
1949,8
1950,12
1951,8
1952,8
1953,5
1954,0
1955,0
1956,5
1957,9
1958,7
1959,5
1960,0
1961,0
1962,0
1963,5
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,11
1971,6
1972,0
1973,0
1974,0
1975,6
1976,6
1977,0
1978,0
1979,6
1980,6
1981,0
1982,6
1983,0
1984,0
1985,0
1986,6
1987,7
1988,0
1989,0
1990,0
1991,0
1992,5
1993,5
1994,6
1995,0
1996,0
1997,0
1998,8
1999,8
2000,5
2001,0
2002,0
2003,7
2004,7
2005,5
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
