year,Maryetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,8
1892,0
1893,0
1894,6
1895,0
1896,7
1897,0
1898,0
1899,0
1900,7
1901,5
1902,9
1903,5
1904,0
1905,6
1906,8
1907,0
1908,7
1909,0
1910,0
1911,8
1912,12
1913,14
1914,14
1915,16
1916,17
1917,20
1918,22
1919,21
1920,19
1921,28
1922,21
1923,19
1924,26
1925,25
1926,14
1927,18
1928,20
1929,17
1930,18
1931,30
1932,17
1933,8
1934,15
1935,20
1936,26
1937,15
1938,14
1939,17
1940,24
1941,15
1942,26
1943,31
1944,20
1945,16
1946,22
1947,21
1948,21
1949,22
1950,22
1951,25
1952,25
1953,13
1954,14
1955,10
1956,14
1957,11
1958,20
1959,10
1960,9
1961,11
1962,8
1963,5
1964,12
1965,10
1966,8
1967,7
1968,11
1969,0
1970,7
1971,7
1972,0
1973,0
1974,7
1975,6
1976,6
1977,7
1978,0
1979,0
1980,0
1981,0
1982,5
1983,7
1984,0
1985,6
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
