year,Malinda
1880,35
1881,40
1882,43
1883,47
1884,55
1885,45
1886,53
1887,50
1888,73
1889,44
1890,62
1891,67
1892,53
1893,40
1894,62
1895,60
1896,52
1897,66
1898,69
1899,59
1900,81
1901,38
1902,72
1903,58
1904,52
1905,60
1906,69
1907,66
1908,56
1909,49
1910,48
1911,58
1912,84
1913,84
1914,86
1915,113
1916,109
1917,90
1918,118
1919,102
1920,117
1921,82
1922,87
1923,90
1924,70
1925,81
1926,69
1927,74
1928,66
1929,53
1930,46
1931,51
1932,49
1933,51
1934,55
1935,42
1936,55
1937,70
1938,69
1939,74
1940,102
1941,97
1942,131
1943,121
1944,121
1945,128
1946,158
1947,183
1948,165
1949,227
1950,224
1951,212
1952,211
1953,225
1954,235
1955,263
1956,308
1957,326
1958,365
1959,389
1960,316
1961,330
1962,356
1963,339
1964,340
1965,372
1966,308
1967,334
1968,388
1969,459
1970,453
1971,426
1972,419
1973,460
1974,398
1975,352
1976,381
1977,364
1978,440
1979,405
1980,355
1981,322
1982,292
1983,243
1984,261
1985,212
1986,199
1987,210
1988,196
1989,167
1990,185
1991,152
1992,150
1993,131
1994,118
1995,115
1996,92
1997,103
1998,80
1999,72
2000,98
2001,92
2002,94
2003,85
2004,79
2005,71
2006,89
2007,77
2008,79
2009,92
2010,66
2011,54
2012,53
