year,Magda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,7
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,11
1913,0
1914,0
1915,6
1916,9
1917,0
1918,0
1919,6
1920,6
1921,0
1922,0
1923,0
1924,0
1925,9
1926,5
1927,0
1928,0
1929,6
1930,7
1931,8
1932,0
1933,0
1934,0
1935,9
1936,7
1937,5
1938,5
1939,6
1940,10
1941,6
1942,8
1943,0
1944,9
1945,5
1946,9
1947,14
1948,13
1949,14
1950,9
1951,13
1952,15
1953,32
1954,32
1955,25
1956,31
1957,42
1958,34
1959,57
1960,45
1961,42
1962,53
1963,48
1964,47
1965,57
1966,75
1967,58
1968,54
1969,58
1970,77
1971,52
1972,68
1973,68
1974,55
1975,55
1976,43
1977,37
1978,37
1979,53
1980,44
1981,50
1982,37
1983,43
1984,37
1985,36
1986,40
1987,43
1988,44
1989,48
1990,47
1991,45
1992,61
1993,46
1994,36
1995,35
1996,40
1997,36
1998,34
1999,16
2000,32
2001,46
2002,40
2003,24
2004,21
2005,17
2006,31
2007,19
2008,22
2009,9
2010,16
2011,10
2012,14
