year,Madonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,6
1902,7
1903,11
1904,9
1905,9
1906,9
1907,12
1908,12
1909,20
1910,15
1911,27
1912,21
1913,39
1914,45
1915,76
1916,85
1917,66
1918,78
1919,87
1920,91
1921,80
1922,101
1923,111
1924,110
1925,119
1926,117
1927,112
1928,128
1929,151
1930,137
1931,133
1932,137
1933,141
1934,139
1935,118
1936,134
1937,109
1938,150
1939,131
1940,137
1941,159
1942,134
1943,158
1944,153
1945,132
1946,163
1947,185
1948,174
1949,177
1950,179
1951,178
1952,172
1953,186
1954,211
1955,212
1956,195
1957,176
1958,182
1959,174
1960,193
1961,190
1962,200
1963,170
1964,146
1965,134
1966,101
1967,142
1968,121
1969,86
1970,83
1971,87
1972,75
1973,69
1974,60
1975,53
1976,42
1977,64
1978,47
1979,43
1980,43
1981,36
1982,29
1983,23
1984,63
1985,146
1986,70
1987,61
1988,31
1989,39
1990,24
1991,23
1992,15
1993,12
1994,11
1995,12
1996,9
1997,12
1998,12
1999,18
2000,19
2001,14
2002,13
2003,13
2004,7
2005,8
2006,11
2007,13
2008,10
2009,14
2010,6
2011,6
2012,12
