year,Mace
1880,5
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,5
1902,10
1903,0
1904,0
1905,0
1906,0
1907,0
1908,5
1909,0
1910,0
1911,0
1912,6
1913,6
1914,11
1915,8
1916,11
1917,8
1918,11
1919,11
1920,0
1921,10
1922,9
1923,6
1924,13
1925,8
1926,7
1927,8
1928,10
1929,9
1930,7
1931,0
1932,6
1933,9
1934,6
1935,0
1936,0
1937,0
1938,7
1939,13
1940,5
1941,10
1942,7
1943,5
1944,5
1945,0
1946,7
1947,10
1948,11
1949,9
1950,7
1951,12
1952,6
1953,8
1954,14
1955,13
1956,18
1957,18
1958,12
1959,14
1960,25
1961,9
1962,16
1963,29
1964,30
1965,20
1966,16
1967,21
1968,21
1969,17
1970,18
1971,12
1972,5
1973,14
1974,14
1975,6
1976,15
1977,8
1978,7
1979,8
1980,0
1981,6
1982,6
1983,0
1984,7
1985,5
1986,6
1987,7
1988,0
1989,6
1990,10
1991,10
1992,5
1993,7
1994,5
1995,11
1996,5
1997,13
1998,8
1999,15
2000,10
2001,13
2002,21
2003,18
2004,26
2005,21
2006,33
2007,36
2008,25
2009,41
2010,43
2011,45
2012,58
