year,Marlene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,6
1907,0
1908,0
1909,7
1910,10
1911,11
1912,8
1913,22
1914,21
1915,33
1916,25
1917,40
1918,47
1919,47
1920,56
1921,43
1922,59
1923,114
1924,73
1925,58
1926,63
1927,80
1928,99
1929,129
1930,306
1931,2598
1932,3225
1933,4059
1934,3772
1935,4838
1936,5353
1937,5052
1938,4492
1939,3789
1940,3133
1941,3088
1942,3259
1943,2866
1944,2571
1945,2539
1946,2818
1947,2988
1948,3058
1949,3046
1950,3133
1951,3009
1952,3129
1953,2764
1954,2658
1955,2573
1956,2131
1957,2128
1958,1962
1959,1783
1960,1652
1961,1644
1962,1564
1963,1561
1964,1294
1965,1211
1966,1141
1967,1025
1968,1004
1969,889
1970,868
1971,739
1972,656
1973,535
1974,547
1975,493
1976,492
1977,492
1978,456
1979,466
1980,440
1981,448
1982,487
1983,464
1984,437
1985,446
1986,483
1987,497
1988,489
1989,609
1990,679
1991,759
1992,722
1993,617
1994,568
1995,577
1996,518
1997,448
1998,428
1999,432
2000,518
2001,487
2002,509
2003,558
2004,605
2005,536
2006,591
2007,590
2008,491
2009,391
2010,291
2011,296
2012,255
