year,Maryjane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,7
1891,5
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,6
1902,0
1903,6
1904,5
1905,0
1906,0
1907,5
1908,7
1909,6
1910,14
1911,10
1912,14
1913,21
1914,39
1915,58
1916,73
1917,74
1918,97
1919,98
1920,113
1921,164
1922,191
1923,223
1924,194
1925,152
1926,134
1927,115
1928,112
1929,93
1930,92
1931,97
1932,71
1933,88
1934,110
1935,122
1936,129
1937,146
1938,143
1939,151
1940,163
1941,148
1942,217
1943,207
1944,208
1945,184
1946,190
1947,184
1948,195
1949,147
1950,179
1951,136
1952,149
1953,136
1954,114
1955,107
1956,95
1957,107
1958,95
1959,118
1960,139
1961,164
1962,157
1963,155
1964,124
1965,100
1966,86
1967,67
1968,57
1969,48
1970,69
1971,56
1972,45
1973,44
1974,39
1975,41
1976,41
1977,37
1978,33
1979,47
1980,37
1981,36
1982,42
1983,32
1984,28
1985,35
1986,44
1987,44
1988,39
1989,29
1990,27
1991,33
1992,40
1993,37
1994,43
1995,50
1996,86
1997,81
1998,123
1999,116
2000,136
2001,132
2002,182
2003,226
2004,230
2005,247
2006,246
2007,291
2008,283
2009,309
2010,231
2011,212
2012,212
