year,Merry
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,5
1906,5
1907,0
1908,6
1909,8
1910,6
1911,6
1912,16
1913,13
1914,17
1915,18
1916,22
1917,34
1918,29
1919,48
1920,61
1921,57
1922,54
1923,65
1924,48
1925,47
1926,44
1927,40
1928,45
1929,34
1930,40
1931,42
1932,52
1933,53
1934,67
1935,65
1936,55
1937,88
1938,95
1939,103
1940,124
1941,117
1942,201
1943,221
1944,203
1945,214
1946,276
1947,300
1948,306
1949,285
1950,292
1951,264
1952,323
1953,328
1954,355
1955,333
1956,298
1957,253
1958,240
1959,285
1960,274
1961,268
1962,219
1963,206
1964,221
1965,163
1966,111
1967,144
1968,99
1969,127
1970,125
1971,101
1972,69
1973,61
1974,73
1975,59
1976,47
1977,49
1978,62
1979,53
1980,45
1981,52
1982,47
1983,60
1984,42
1985,52
1986,28
1987,44
1988,34
1989,32
1990,34
1991,42
1992,22
1993,22
1994,42
1995,31
1996,32
1997,20
1998,21
1999,27
2000,24
2001,13
2002,17
2003,19
2004,30
2005,22
2006,20
2007,14
2008,23
2009,18
2010,22
2011,15
2012,18
