year,Milly
1880,0
1881,0
1882,0
1883,0
1884,10
1885,0
1886,5
1887,0
1888,0
1889,0
1890,5
1891,5
1892,6
1893,6
1894,0
1895,0
1896,5
1897,0
1898,5
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,8
1911,5
1912,12
1913,8
1914,10
1915,19
1916,14
1917,8
1918,10
1919,20
1920,17
1921,15
1922,18
1923,21
1924,23
1925,21
1926,15
1927,11
1928,18
1929,18
1930,13
1931,21
1932,12
1933,12
1934,12
1935,17
1936,6
1937,17
1938,12
1939,12
1940,9
1941,14
1942,13
1943,10
1944,7
1945,16
1946,13
1947,8
1948,13
1949,13
1950,11
1951,10
1952,8
1953,9
1954,12
1955,16
1956,12
1957,13
1958,14
1959,18
1960,20
1961,13
1962,14
1963,25
1964,14
1965,11
1966,8
1967,10
1968,8
1969,9
1970,6
1971,6
1972,14
1973,12
1974,0
1975,13
1976,12
1977,8
1978,0
1979,8
1980,9
1981,10
1982,5
1983,9
1984,9
1985,14
1986,0
1987,14
1988,9
1989,7
1990,10
1991,14
1992,12
1993,10
1994,11
1995,12
1996,11
1997,6
1998,10
1999,22
2000,31
2001,31
2002,32
2003,48
2004,40
2005,39
2006,53
2007,46
2008,116
2009,78
2010,95
2011,81
2012,94
