year,Mac
1880,7
1881,7
1882,0
1883,5
1884,0
1885,0
1886,5
1887,5
1888,11
1889,5
1890,6
1891,5
1892,6
1893,5
1894,6
1895,0
1896,12
1897,7
1898,6
1899,0
1900,12
1901,9
1902,8
1903,5
1904,16
1905,7
1906,22
1907,21
1908,12
1909,16
1910,16
1911,22
1912,36
1913,34
1914,43
1915,65
1916,55
1917,76
1918,80
1919,77
1920,74
1921,70
1922,61
1923,77
1924,67
1925,84
1926,60
1927,72
1928,54
1929,66
1930,67
1931,74
1932,69
1933,75
1934,86
1935,68
1936,76
1937,70
1938,77
1939,88
1940,72
1941,81
1942,397
1943,239
1944,197
1945,150
1946,150
1947,138
1948,105
1949,106
1950,122
1951,128
1952,114
1953,88
1954,85
1955,90
1956,69
1957,76
1958,86
1959,69
1960,69
1961,63
1962,68
1963,58
1964,45
1965,73
1966,51
1967,47
1968,36
1969,33
1970,57
1971,32
1972,43
1973,56
1974,70
1975,105
1976,90
1977,67
1978,60
1979,67
1980,55
1981,52
1982,32
1983,27
1984,40
1985,37
1986,27
1987,36
1988,42
1989,37
1990,47
1991,43
1992,41
1993,36
1994,43
1995,37
1996,48
1997,38
1998,40
1999,58
2000,58
2001,62
2002,67
2003,67
2004,54
2005,54
2006,77
2007,86
2008,85
2009,99
2010,116
2011,110
2012,147
