year,Milo
1880,26
1881,19
1882,27
1883,20
1884,22
1885,21
1886,24
1887,23
1888,20
1889,17
1890,17
1891,16
1892,35
1893,20
1894,25
1895,18
1896,31
1897,20
1898,22
1899,21
1900,22
1901,27
1902,24
1903,22
1904,21
1905,18
1906,30
1907,36
1908,28
1909,33
1910,30
1911,45
1912,95
1913,112
1914,149
1915,180
1916,193
1917,193
1918,185
1919,196
1920,217
1921,205
1922,196
1923,179
1924,169
1925,162
1926,131
1927,151
1928,157
1929,144
1930,156
1931,128
1932,123
1933,124
1934,128
1935,95
1936,120
1937,111
1938,95
1939,85
1940,100
1941,93
1942,71
1943,107
1944,76
1945,90
1946,92
1947,88
1948,102
1949,94
1950,97
1951,105
1952,94
1953,82
1954,96
1955,109
1956,85
1957,76
1958,69
1959,70
1960,53
1961,61
1962,52
1963,57
1964,62
1965,56
1966,46
1967,49
1968,41
1969,45
1970,59
1971,59
1972,54
1973,63
1974,51
1975,49
1976,63
1977,57
1978,56
1979,61
1980,45
1981,50
1982,62
1983,56
1984,55
1985,52
1986,42
1987,47
1988,42
1989,61
1990,81
1991,56
1992,48
1993,44
1994,51
1995,53
1996,58
1997,81
1998,99
1999,80
2000,126
2001,156
2002,210
2003,220
2004,236
2005,282
2006,342
2007,475
2008,643
2009,626
2010,664
2011,845
2012,973
