year,Montgomery
1880,5
1881,5
1882,0
1883,7
1884,0
1885,0
1886,0
1887,5
1888,0
1889,6
1890,0
1891,5
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,8
1899,6
1900,0
1901,0
1902,0
1903,0
1904,0
1905,7
1906,6
1907,7
1908,0
1909,6
1910,7
1911,8
1912,7
1913,9
1914,8
1915,15
1916,18
1917,14
1918,24
1919,13
1920,15
1921,11
1922,19
1923,8
1924,13
1925,10
1926,13
1927,10
1928,14
1929,14
1930,13
1931,12
1932,16
1933,11
1934,6
1935,8
1936,0
1937,5
1938,5
1939,5
1940,11
1941,7
1942,16
1943,15
1944,12
1945,14
1946,9
1947,17
1948,18
1949,35
1950,43
1951,38
1952,47
1953,30
1954,52
1955,53
1956,37
1957,43
1958,43
1959,45
1960,61
1961,63
1962,65
1963,60
1964,74
1965,57
1966,50
1967,54
1968,59
1969,36
1970,55
1971,39
1972,41
1973,26
1974,30
1975,18
1976,17
1977,21
1978,16
1979,24
1980,20
1981,21
1982,30
1983,19
1984,31
1985,22
1986,19
1987,35
1988,30
1989,42
1990,36
1991,36
1992,41
1993,43
1994,50
1995,60
1996,61
1997,73
1998,56
1999,63
2000,91
2001,78
2002,96
2003,92
2004,102
2005,87
2006,84
2007,84
2008,94
2009,78
2010,84
2011,81
2012,99
