year,Marquerite
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,6
1893,7
1894,5
1895,0
1896,6
1897,6
1898,0
1899,0
1900,5
1901,0
1902,10
1903,6
1904,9
1905,9
1906,9
1907,7
1908,11
1909,11
1910,11
1911,12
1912,24
1913,21
1914,28
1915,17
1916,26
1917,21
1918,21
1919,17
1920,26
1921,24
1922,21
1923,14
1924,19
1925,10
1926,13
1927,8
1928,15
1929,9
1930,7
1931,9
1932,0
1933,5
1934,7
1935,0
1936,6
1937,5
1938,0
1939,0
1940,7
1941,0
1942,6
1943,8
1944,9
1945,7
1946,0
1947,0
1948,8
1949,10
1950,0
1951,8
1952,14
1953,10
1954,11
1955,9
1956,13
1957,12
1958,19
1959,17
1960,14
1961,10
1962,7
1963,0
1964,0
1965,8
1966,8
1967,12
1968,7
1969,8
1970,7
1971,0
1972,6
1973,0
1974,0
1975,0
1976,6
1977,5
1978,9
1979,0
1980,5
1981,0
1982,0
1983,10
1984,0
1985,6
1986,0
1987,5
1988,8
1989,0
1990,5
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
