year,Merna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,5
1897,0
1898,9
1899,8
1900,7
1901,10
1902,0
1903,13
1904,7
1905,0
1906,9
1907,0
1908,18
1909,14
1910,14
1911,13
1912,22
1913,28
1914,31
1915,36
1916,36
1917,52
1918,55
1919,37
1920,49
1921,36
1922,47
1923,51
1924,55
1925,40
1926,53
1927,51
1928,68
1929,75
1930,79
1931,59
1932,48
1933,59
1934,70
1935,57
1936,50
1937,54
1938,52
1939,54
1940,51
1941,33
1942,29
1943,31
1944,42
1945,28
1946,29
1947,29
1948,22
1949,23
1950,22
1951,28
1952,28
1953,12
1954,20
1955,26
1956,19
1957,24
1958,18
1959,17
1960,21
1961,14
1962,8
1963,10
1964,9
1965,9
1966,8
1967,7
1968,7
1969,6
1970,0
1971,6
1972,0
1973,5
1974,7
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,7
1991,5
1992,0
1993,5
1994,0
1995,9
1996,0
1997,9
1998,8
1999,0
2000,13
2001,13
2002,14
2003,15
2004,6
2005,10
2006,0
2007,0
2008,7
2009,10
2010,0
2011,10
2012,8
