year,Maxie
1880,0
1881,0
1882,0
1883,0
1884,9
1885,0
1886,7
1887,9
1888,16
1889,14
1890,27
1891,11
1892,15
1893,22
1894,17
1895,21
1896,30
1897,16
1898,24
1899,39
1900,39
1901,22
1902,28
1903,36
1904,38
1905,37
1906,48
1907,45
1908,55
1909,49
1910,69
1911,60
1912,68
1913,84
1914,100
1915,143
1916,129
1917,159
1918,165
1919,145
1920,149
1921,146
1922,159
1923,162
1924,167
1925,139
1926,149
1927,149
1928,157
1929,150
1930,149
1931,133
1932,184
1933,148
1934,183
1935,215
1936,175
1937,151
1938,181
1939,164
1940,142
1941,144
1942,147
1943,138
1944,143
1945,99
1946,131
1947,109
1948,109
1949,117
1950,88
1951,92
1952,75
1953,93
1954,87
1955,70
1956,79
1957,74
1958,74
1959,68
1960,59
1961,62
1962,79
1963,59
1964,53
1965,43
1966,43
1967,40
1968,45
1969,42
1970,41
1971,41
1972,31
1973,27
1974,17
1975,29
1976,35
1977,31
1978,26
1979,27
1980,33
1981,29
1982,24
1983,25
1984,23
1985,28
1986,20
1987,42
1988,32
1989,23
1990,8
1991,25
1992,19
1993,16
1994,25
1995,21
1996,14
1997,9
1998,13
1999,13
2000,19
2001,15
2002,7
2003,10
2004,20
2005,14
2006,7
2007,16
2008,13
2009,8
2010,9
2011,12
2012,5
