year,Mabel
1880,808
1881,893
1882,997
1883,1092
1884,1270
1885,1356
1886,1428
1887,1499
1888,1830
1889,1954
1890,2066
1891,2037
1892,2170
1893,2201
1894,2227
1895,2359
1896,2283
1897,2232
1898,2338
1899,2133
1900,2517
1901,2109
1902,2292
1903,2171
1904,2184
1905,2185
1906,2064
1907,2080
1908,2108
1909,2018
1910,2133
1911,2181
1912,2729
1913,2749
1914,3142
1915,3696
1916,3686
1917,3516
1918,3644
1919,3412
1920,3373
1921,3342
1922,2900
1923,2699
1924,2658
1925,2301
1926,2083
1927,1960
1928,1751
1929,1523
1930,1377
1931,1066
1932,1116
1933,879
1934,859
1935,825
1936,743
1937,701
1938,673
1939,592
1940,555
1941,507
1942,513
1943,478
1944,386
1945,344
1946,334
1947,345
1948,311
1949,253
1950,228
1951,200
1952,216
1953,197
1954,173
1955,194
1956,182
1957,174
1958,132
1959,140
1960,134
1961,139
1962,126
1963,122
1964,124
1965,93
1966,84
1967,72
1968,71
1969,86
1970,60
1971,75
1972,67
1973,65
1974,82
1975,68
1976,76
1977,64
1978,62
1979,70
1980,75
1981,86
1982,75
1983,73
1984,75
1985,66
1986,72
1987,85
1988,103
1989,64
1990,78
1991,75
1992,80
1993,66
1994,75
1995,53
1996,57
1997,42
1998,77
1999,90
2000,75
2001,82
2002,93
2003,97
2004,90
2005,105
2006,116
2007,127
2008,139
2009,147
2010,177
2011,195
2012,241
