year,Mira
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,5
1889,6
1890,8
1891,9
1892,0
1893,0
1894,7
1895,0
1896,10
1897,0
1898,0
1899,5
1900,14
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,5
1912,6
1913,7
1914,6
1915,8
1916,10
1917,10
1918,19
1919,16
1920,6
1921,10
1922,10
1923,10
1924,12
1925,15
1926,7
1927,9
1928,10
1929,11
1930,12
1931,11
1932,10
1933,8
1934,11
1935,19
1936,8
1937,5
1938,10
1939,10
1940,5
1941,16
1942,16
1943,15
1944,15
1945,14
1946,16
1947,23
1948,20
1949,29
1950,19
1951,30
1952,38
1953,36
1954,40
1955,43
1956,32
1957,27
1958,34
1959,42
1960,38
1961,20
1962,32
1963,34
1964,39
1965,32
1966,34
1967,34
1968,27
1969,48
1970,37
1971,47
1972,29
1973,42
1974,44
1975,29
1976,43
1977,45
1978,37
1979,32
1980,47
1981,44
1982,46
1983,42
1984,48
1985,31
1986,40
1987,44
1988,50
1989,50
1990,49
1991,50
1992,51
1993,46
1994,57
1995,56
1996,104
1997,142
1998,182
1999,165
2000,174
2001,224
2002,198
2003,237
2004,268
2005,276
2006,285
2007,274
2008,307
2009,349
2010,314
2011,347
2012,423
