year,Marcel
1880,0
1881,5
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,7
1893,0
1894,0
1895,6
1896,5
1897,0
1898,6
1899,0
1900,0
1901,7
1902,0
1903,8
1904,5
1905,9
1906,9
1907,9
1908,8
1909,7
1910,11
1911,20
1912,28
1913,44
1914,63
1915,97
1916,74
1917,104
1918,120
1919,110
1920,113
1921,116
1922,122
1923,155
1924,150
1925,153
1926,130
1927,149
1928,139
1929,133
1930,129
1931,121
1932,119
1933,79
1934,100
1935,70
1936,62
1937,69
1938,80
1939,84
1940,63
1941,59
1942,85
1943,89
1944,56
1945,81
1946,69
1947,104
1948,120
1949,94
1950,96
1951,116
1952,120
1953,122
1954,129
1955,101
1956,143
1957,131
1958,122
1959,125
1960,152
1961,148
1962,152
1963,153
1964,178
1965,192
1966,159
1967,187
1968,176
1969,197
1970,215
1971,204
1972,219
1973,201
1974,161
1975,198
1976,175
1977,184
1978,143
1979,179
1980,187
1981,184
1982,151
1983,212
1984,202
1985,213
1986,258
1987,243
1988,292
1989,283
1990,338
1991,297
1992,347
1993,272
1994,275
1995,258
1996,276
1997,256
1998,268
1999,280
2000,231
2001,220
2002,200
2003,232
2004,212
2005,243
2006,204
2007,248
2008,260
2009,239
2010,260
2011,256
2012,237
