year,Marianne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,6
1888,0
1889,0
1890,6
1891,5
1892,8
1893,0
1894,0
1895,5
1896,0
1897,0
1898,8
1899,12
1900,9
1901,11
1902,11
1903,12
1904,11
1905,13
1906,19
1907,19
1908,21
1909,33
1910,49
1911,41
1912,90
1913,86
1914,118
1915,152
1916,156
1917,177
1918,179
1919,155
1920,204
1921,201
1922,238
1923,250
1924,239
1925,245
1926,224
1927,267
1928,387
1929,605
1930,791
1931,612
1932,602
1933,600
1934,620
1935,632
1936,682
1937,646
1938,730
1939,694
1940,846
1941,1037
1942,1220
1943,1203
1944,1196
1945,1139
1946,1235
1947,1292
1948,1426
1949,1358
1950,1400
1951,1468
1952,1550
1953,1650
1954,2037
1955,1747
1956,1616
1957,3028
1958,2075
1959,1918
1960,1780
1961,1654
1962,1501
1963,1474
1964,1209
1965,1152
1966,935
1967,841
1968,758
1969,660
1970,678
1971,620
1972,501
1973,460
1974,452
1975,388
1976,427
1977,390
1978,393
1979,424
1980,415
1981,398
1982,407
1983,359
1984,286
1985,336
1986,271
1987,306
1988,267
1989,241
1990,188
1991,202
1992,189
1993,178
1994,156
1995,152
1996,120
1997,151
1998,126
1999,111
2000,136
2001,134
2002,130
2003,113
2004,114
2005,107
2006,120
2007,106
2008,105
2009,82
2010,99
2011,109
2012,96
