year,Myrna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,11
1886,0
1887,6
1888,8
1889,5
1890,8
1891,8
1892,5
1893,8
1894,14
1895,11
1896,15
1897,14
1898,14
1899,15
1900,30
1901,22
1902,20
1903,22
1904,21
1905,20
1906,25
1907,21
1908,41
1909,24
1910,28
1911,61
1912,42
1913,62
1914,94
1915,128
1916,153
1917,115
1918,132
1919,152
1920,134
1921,139
1922,144
1923,131
1924,129
1925,136
1926,156
1927,204
1928,335
1929,429
1930,483
1931,415
1932,422
1933,571
1934,842
1935,1060
1936,1402
1937,1657
1938,1808
1939,1598
1940,1478
1941,1376
1942,1104
1943,844
1944,635
1945,568
1946,620
1947,647
1948,493
1949,421
1950,448
1951,478
1952,362
1953,390
1954,381
1955,427
1956,452
1957,430
1958,411
1959,403
1960,374
1961,344
1962,334
1963,307
1964,288
1965,234
1966,207
1967,192
1968,158
1969,187
1970,159
1971,164
1972,149
1973,128
1974,169
1975,124
1976,135
1977,130
1978,104
1979,100
1980,110
1981,87
1982,96
1983,81
1984,80
1985,69
1986,66
1987,63
1988,73
1989,62
1990,62
1991,72
1992,62
1993,51
1994,55
1995,43
1996,49
1997,34
1998,39
1999,41
2000,36
2001,33
2002,37
2003,33
2004,33
2005,31
2006,29
2007,19
2008,25
2009,23
2010,17
2011,19
2012,21
