year,Marine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,5
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,5
1910,0
1911,8
1912,8
1913,0
1914,6
1915,16
1916,14
1917,20
1918,28
1919,11
1920,17
1921,26
1922,15
1923,25
1924,17
1925,22
1926,21
1927,13
1928,27
1929,18
1930,16
1931,19
1932,21
1933,9
1934,31
1935,14
1936,11
1937,18
1938,10
1939,12
1940,13
1941,0
1942,13
1943,7
1944,11
1945,8
1946,9
1947,8
1948,5
1949,6
1950,8
1951,6
1952,6
1953,8
1954,8
1955,5
1956,0
1957,0
1958,0
1959,6
1960,0
1961,0
1962,8
1963,7
1964,5
1965,0
1966,0
1967,7
1968,0
1969,7
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,5
1977,7
1978,16
1979,0
1980,12
1981,6
1982,7
1983,9
1984,7
1985,0
1986,8
1987,6
1988,0
1989,12
1990,9
1991,11
1992,5
1993,15
1994,10
1995,8
1996,12
1997,9
1998,12
1999,14
2000,15
2001,9
2002,13
2003,9
2004,5
2005,5
2006,0
2007,0
2008,0
2009,6
2010,8
2011,5
2012,6
