year,Mariana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,5
1890,5
1891,0
1892,0
1893,6
1894,0
1895,6
1896,6
1897,0
1898,5
1899,7
1900,9
1901,7
1902,8
1903,8
1904,0
1905,6
1906,13
1907,10
1908,12
1909,7
1910,16
1911,7
1912,23
1913,22
1914,24
1915,30
1916,30
1917,40
1918,43
1919,36
1920,40
1921,35
1922,52
1923,39
1924,34
1925,55
1926,32
1927,36
1928,45
1929,44
1930,42
1931,41
1932,24
1933,27
1934,30
1935,38
1936,34
1937,26
1938,39
1939,21
1940,26
1941,30
1942,34
1943,30
1944,36
1945,32
1946,27
1947,29
1948,35
1949,28
1950,29
1951,27
1952,26
1953,24
1954,39
1955,29
1956,36
1957,29
1958,36
1959,39
1960,38
1961,48
1962,38
1963,55
1964,54
1965,45
1966,45
1967,42
1968,55
1969,58
1970,74
1971,84
1972,94
1973,78
1974,83
1975,121
1976,98
1977,126
1978,125
1979,137
1980,249
1981,216
1982,175
1983,205
1984,197
1985,211
1986,193
1987,221
1988,278
1989,364
1990,473
1991,468
1992,439
1993,511
1994,573
1995,626
1996,627
1997,651
1998,871
1999,897
2000,944
2001,1161
2002,1247
2003,1296
2004,1994
2005,2066
2006,1996
2007,1979
2008,1678
2009,1476
2010,1247
2011,1061
2012,1023
