year,Maryland
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,5
1903,0
1904,0
1905,6
1906,0
1907,5
1908,6
1909,5
1910,7
1911,0
1912,9
1913,9
1914,0
1915,26
1916,24
1917,19
1918,14
1919,20
1920,20
1921,27
1922,23
1923,21
1924,29
1925,34
1926,29
1927,39
1928,30
1929,20
1930,20
1931,27
1932,21
1933,25
1934,21
1935,15
1936,18
1937,26
1938,18
1939,33
1940,19
1941,30
1942,27
1943,33
1944,28
1945,17
1946,29
1947,24
1948,30
1949,11
1950,25
1951,26
1952,15
1953,21
1954,23
1955,17
1956,20
1957,15
1958,21
1959,19
1960,7
1961,10
1962,7
1963,5
1964,13
1965,7
1966,5
1967,24
1968,13
1969,8
1970,5
1971,9
1972,8
1973,5
1974,7
1975,6
1976,0
1977,6
1978,5
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
