year,Maryellen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,6
1893,5
1894,0
1895,5
1896,0
1897,0
1898,6
1899,0
1900,12
1901,0
1902,0
1903,0
1904,6
1905,0
1906,6
1907,0
1908,14
1909,9
1910,5
1911,19
1912,15
1913,22
1914,26
1915,48
1916,36
1917,58
1918,54
1919,60
1920,71
1921,78
1922,81
1923,103
1924,109
1925,69
1926,77
1927,94
1928,66
1929,60
1930,85
1931,58
1932,75
1933,64
1934,80
1935,109
1936,112
1937,107
1938,106
1939,144
1940,178
1941,201
1942,206
1943,237
1944,276
1945,225
1946,278
1947,308
1948,278
1949,274
1950,258
1951,294
1952,248
1953,253
1954,298
1955,270
1956,252
1957,270
1958,336
1959,372
1960,468
1961,418
1962,381
1963,354
1964,361
1965,265
1966,226
1967,197
1968,153
1969,143
1970,170
1971,106
1972,90
1973,106
1974,72
1975,98
1976,75
1977,91
1978,90
1979,89
1980,75
1981,85
1982,68
1983,65
1984,54
1985,62
1986,62
1987,59
1988,65
1989,51
1990,45
1991,42
1992,43
1993,42
1994,46
1995,35
1996,41
1997,35
1998,31
1999,29
2000,33
2001,33
2002,33
2003,34
2004,33
2005,29
2006,23
2007,22
2008,31
2009,22
2010,26
2011,25
2012,27
