year,Montie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,7
1886,11
1887,5
1888,10
1889,12
1890,10
1891,19
1892,5
1893,6
1894,0
1895,20
1896,9
1897,22
1898,15
1899,13
1900,15
1901,12
1902,7
1903,0
1904,14
1905,7
1906,12
1907,8
1908,12
1909,9
1910,15
1911,7
1912,7
1913,14
1914,25
1915,32
1916,19
1917,30
1918,37
1919,29
1920,32
1921,30
1922,34
1923,29
1924,36
1925,29
1926,23
1927,29
1928,27
1929,39
1930,33
1931,42
1932,30
1933,38
1934,40
1935,28
1936,30
1937,36
1938,47
1939,58
1940,21
1941,38
1942,39
1943,35
1944,33
1945,28
1946,38
1947,51
1948,59
1949,44
1950,46
1951,54
1952,56
1953,39
1954,35
1955,49
1956,40
1957,45
1958,41
1959,31
1960,42
1961,39
1962,35
1963,41
1964,44
1965,26
1966,33
1967,24
1968,33
1969,32
1970,22
1971,22
1972,18
1973,15
1974,6
1975,15
1976,8
1977,20
1978,9
1979,9
1980,9
1981,5
1982,11
1983,6
1984,6
1985,11
1986,0
1987,7
1988,0
1989,9
1990,8
1991,0
1992,7
1993,8
1994,9
1995,6
1996,7
1997,8
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
