year,Mariam
1880,0
1881,0
1882,5
1883,6
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,6
1892,6
1893,5
1894,7
1895,0
1896,0
1897,9
1898,8
1899,9
1900,14
1901,0
1902,9
1903,10
1904,5
1905,7
1906,15
1907,12
1908,16
1909,8
1910,13
1911,15
1912,21
1913,35
1914,33
1915,54
1916,54
1917,58
1918,65
1919,62
1920,70
1921,61
1922,52
1923,71
1924,64
1925,59
1926,59
1927,60
1928,44
1929,49
1930,49
1931,32
1932,50
1933,31
1934,29
1935,27
1936,28
1937,37
1938,33
1939,32
1940,25
1941,32
1942,16
1943,33
1944,25
1945,23
1946,22
1947,31
1948,20
1949,21
1950,26
1951,13
1952,33
1953,27
1954,33
1955,23
1956,31
1957,23
1958,21
1959,21
1960,23
1961,39
1962,28
1963,42
1964,29
1965,36
1966,32
1967,28
1968,36
1969,49
1970,28
1971,45
1972,32
1973,40
1974,37
1975,36
1976,52
1977,47
1978,49
1979,69
1980,86
1981,85
1982,100
1983,98
1984,101
1985,112
1986,100
1987,119
1988,132
1989,145
1990,159
1991,192
1992,210
1993,184
1994,206
1995,198
1996,247
1997,256
1998,290
1999,301
2000,349
2001,367
2002,376
2003,407
2004,404
2005,459
2006,410
2007,422
2008,441
2009,441
2010,474
2011,418
2012,458
