year,Martie
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,6
1913,0
1914,6
1915,5
1916,9
1917,8
1918,0
1919,6
1920,0
1921,7
1922,11
1923,5
1924,12
1925,11
1926,5
1927,5
1928,6
1929,5
1930,15
1931,6
1932,5
1933,5
1934,5
1935,7
1936,5
1937,7
1938,0
1939,8
1940,5
1941,11
1942,6
1943,9
1944,21
1945,18
1946,23
1947,21
1948,23
1949,14
1950,18
1951,25
1952,28
1953,24
1954,22
1955,23
1956,29
1957,33
1958,31
1959,38
1960,37
1961,31
1962,33
1963,42
1964,37
1965,32
1966,38
1967,38
1968,29
1969,26
1970,57
1971,21
1972,38
1973,15
1974,19
1975,21
1976,18
1977,24
1978,9
1979,18
1980,12
1981,9
1982,9
1983,10
1984,11
1985,0
1986,7
1987,5
1988,0
1989,8
1990,6
1991,0
1992,6
1993,13
1994,10
1995,6
1996,12
1997,0
1998,5
1999,0
2000,6
2001,0
2002,0
2003,7
2004,0
2005,0
2006,7
2007,6
2008,8
2009,0
2010,0
2011,0
2012,5
