year,Marinda
1880,0
1881,5
1882,10
1883,0
1884,6
1885,7
1886,0
1887,6
1888,5
1889,5
1890,5
1891,0
1892,0
1893,6
1894,6
1895,8
1896,0
1897,5
1898,9
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,7
1907,0
1908,5
1909,0
1910,8
1911,0
1912,0
1913,8
1914,5
1915,9
1916,0
1917,8
1918,8
1919,10
1920,15
1921,0
1922,6
1923,5
1924,0
1925,0
1926,10
1927,0
1928,0
1929,5
1930,0
1931,0
1932,0
1933,0
1934,0
1935,7
1936,6
1937,0
1938,0
1939,0
1940,5
1941,5
1942,15
1943,0
1944,8
1945,0
1946,0
1947,10
1948,10
1949,6
1950,15
1951,10
1952,13
1953,16
1954,12
1955,9
1956,19
1957,18
1958,20
1959,13
1960,20
1961,16
1962,22
1963,13
1964,24
1965,14
1966,23
1967,29
1968,26
1969,21
1970,29
1971,23
1972,36
1973,23
1974,31
1975,33
1976,32
1977,45
1978,46
1979,29
1980,48
1981,37
1982,45
1983,40
1984,21
1985,37
1986,27
1987,30
1988,29
1989,25
1990,37
1991,40
1992,38
1993,32
1994,28
1995,34
1996,31
1997,22
1998,26
1999,15
2000,20
2001,17
2002,15
2003,7
2004,12
2005,10
2006,8
2007,8
2008,0
2009,9
2010,10
2011,0
2012,0
