year,Melton
1880,0
1881,0
1882,6
1883,8
1884,7
1885,0
1886,8
1887,0
1888,15
1889,5
1890,0
1891,0
1892,6
1893,6
1894,9
1895,8
1896,6
1897,7
1898,6
1899,5
1900,12
1901,6
1902,5
1903,8
1904,9
1905,9
1906,6
1907,8
1908,13
1909,12
1910,22
1911,9
1912,32
1913,33
1914,33
1915,51
1916,63
1917,55
1918,49
1919,69
1920,63
1921,80
1922,78
1923,67
1924,78
1925,58
1926,72
1927,68
1928,65
1929,55
1930,66
1931,66
1932,78
1933,68
1934,63
1935,68
1936,72
1937,77
1938,58
1939,64
1940,70
1941,64
1942,76
1943,73
1944,78
1945,72
1946,69
1947,71
1948,71
1949,66
1950,71
1951,56
1952,64
1953,60
1954,65
1955,50
1956,60
1957,65
1958,60
1959,44
1960,54
1961,39
1962,47
1963,46
1964,47
1965,43
1966,34
1967,41
1968,37
1969,27
1970,35
1971,39
1972,30
1973,14
1974,20
1975,25
1976,22
1977,27
1978,25
1979,15
1980,19
1981,15
1982,18
1983,13
1984,14
1985,16
1986,9
1987,14
1988,14
1989,11
1990,12
1991,9
1992,6
1993,11
1994,9
1995,8
1996,11
1997,6
1998,9
1999,0
2000,7
2001,0
2002,7
2003,9
2004,5
2005,9
2006,0
2007,7
2008,0
2009,5
2010,5
2011,0
2012,0
