year,Maryann
1880,6
1881,0
1882,6
1883,0
1884,0
1885,7
1886,0
1887,5
1888,6
1889,6
1890,7
1891,8
1892,6
1893,7
1894,9
1895,14
1896,8
1897,9
1898,15
1899,8
1900,20
1901,11
1902,15
1903,11
1904,20
1905,14
1906,21
1907,14
1908,23
1909,29
1910,35
1911,42
1912,56
1913,66
1914,99
1915,129
1916,175
1917,146
1918,168
1919,172
1920,165
1921,224
1922,256
1923,273
1924,335
1925,289
1926,287
1927,308
1928,359
1929,373
1930,440
1931,537
1932,636
1933,612
1934,768
1935,809
1936,996
1937,1205
1938,1212
1939,1238
1940,1371
1941,1619
1942,1933
1943,2056
1944,1721
1945,1614
1946,1765
1947,1858
1948,1632
1949,1516
1950,1354
1951,1429
1952,1183
1953,1078
1954,1147
1955,1068
1956,1049
1957,1395
1958,1233
1959,1280
1960,1336
1961,1287
1962,1201
1963,1107
1964,1053
1965,818
1966,722
1967,650
1968,524
1969,536
1970,508
1971,446
1972,401
1973,358
1974,372
1975,322
1976,344
1977,323
1978,312
1979,316
1980,322
1981,291
1982,327
1983,279
1984,269
1985,267
1986,283
1987,263
1988,272
1989,266
1990,216
1991,207
1992,195
1993,197
1994,168
1995,196
1996,145
1997,145
1998,144
1999,177
2000,176
2001,161
2002,182
2003,156
2004,151
2005,166
2006,156
2007,166
2008,143
2009,137
2010,118
2011,129
2012,115
