year,Mahalia
1880,5
1881,5
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,5
1889,0
1890,0
1891,6
1892,5
1893,5
1894,7
1895,7
1896,8
1897,0
1898,0
1899,8
1900,5
1901,0
1902,9
1903,7
1904,0
1905,6
1906,0
1907,5
1908,0
1909,10
1910,0
1911,8
1912,9
1913,8
1914,10
1915,0
1916,11
1917,10
1918,8
1919,15
1920,8
1921,9
1922,15
1923,5
1924,9
1925,8
1926,10
1927,6
1928,6
1929,0
1930,0
1931,8
1932,7
1933,0
1934,5
1935,8
1936,0
1937,0
1938,7
1939,0
1940,12
1941,12
1942,8
1943,9
1944,0
1945,8
1946,12
1947,9
1948,8
1949,18
1950,15
1951,17
1952,9
1953,15
1954,10
1955,8
1956,9
1957,16
1958,10
1959,15
1960,19
1961,19
1962,18
1963,19
1964,9
1965,14
1966,5
1967,10
1968,6
1969,7
1970,0
1971,9
1972,11
1973,0
1974,9
1975,0
1976,11
1977,12
1978,12
1979,11
1980,12
1981,9
1982,6
1983,16
1984,9
1985,10
1986,7
1987,15
1988,8
1989,15
1990,14
1991,16
1992,55
1993,43
1994,26
1995,56
1996,60
1997,48
1998,40
1999,38
2000,50
2001,42
2002,52
2003,40
2004,37
2005,39
2006,50
2007,40
2008,40
2009,38
2010,39
2011,34
2012,27
