year,Mozelle
1880,0
1881,0
1882,0
1883,0
1884,6
1885,5
1886,6
1887,7
1888,0
1889,7
1890,0
1891,0
1892,11
1893,0
1894,15
1895,14
1896,14
1897,11
1898,18
1899,15
1900,18
1901,30
1902,36
1903,22
1904,33
1905,44
1906,36
1907,53
1908,47
1909,56
1910,84
1911,75
1912,117
1913,139
1914,153
1915,175
1916,201
1917,203
1918,212
1919,237
1920,253
1921,230
1922,210
1923,201
1924,197
1925,149
1926,152
1927,151
1928,128
1929,109
1930,115
1931,94
1932,91
1933,84
1934,75
1935,76
1936,49
1937,55
1938,54
1939,50
1940,47
1941,47
1942,52
1943,34
1944,38
1945,32
1946,30
1947,40
1948,36
1949,22
1950,29
1951,19
1952,21
1953,18
1954,18
1955,22
1956,16
1957,10
1958,17
1959,11
1960,11
1961,11
1962,22
1963,0
1964,14
1965,7
1966,7
1967,0
1968,0
1969,0
1970,0
1971,7
1972,0
1973,0
1974,5
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,5
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,9
1999,6
2000,6
2001,6
2002,6
2003,0
2004,0
2005,7
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,6
