year,Michael (F),Michael (M)
1880,0.000000,0.001757
1881,0.000000,0.001547
1882,0.000000,0.001449
1883,0.000000,0.001415
1884,0.000000,0.001532
1885,0.000000,0.001536
1886,0.000000,0.001363
1887,0.000000,0.001391
1888,0.000000,0.001556
1889,0.000000,0.001305
1890,0.000000,0.001307
1891,0.000000,0.001162
1892,0.000000,0.001136
1893,0.000000,0.001251
1894,0.000000,0.001249
1895,0.000000,0.001177
1896,0.000000,0.001116
1897,0.000020,0.001061
1898,0.000000,0.001138
1899,0.000000,0.001105
1900,0.000000,0.001099
1901,0.000000,0.001110
1902,0.000000,0.001189
1903,0.000000,0.001222
1904,0.000000,0.001145
1905,0.000000,0.001210
1906,0.000012,0.001239
1907,0.000000,0.001259
1908,0.000000,0.001408
1909,0.000014,0.001242
1910,0.000015,0.001429
1911,0.000011,0.001799
1912,0.000008,0.002129
1913,0.000011,0.002293
1914,0.000011,0.002374
1915,0.000008,0.002227
1916,0.000009,0.002176
1917,0.000006,0.002137
1918,0.000014,0.001979
1919,0.000011,0.001853
1920,0.000010,0.001769
1921,0.000010,0.001798
1922,0.000014,0.001743
1923,0.000013,0.001700
1924,0.000015,0.001627
1925,0.000015,0.001612
1926,0.000014,0.001518
1927,0.000013,0.001555
1928,0.000015,0.001591
1929,0.000015,0.001581
1930,0.000016,0.001594
1931,0.000011,0.001659
1932,0.000009,0.001709
1933,0.000013,0.001774
1934,0.000010,0.001977
1935,0.000015,0.002348
1936,0.000019,0.002793
1937,0.000022,0.003330
1938,0.000026,0.004104
1939,0.000037,0.004914
1940,0.000035,0.005745
1941,0.000040,0.006540
1942,0.000057,0.007953
1943,0.000067,0.008767
1944,0.000062,0.009934
1945,0.000060,0.011272
1946,0.000053,0.012890
1947,0.000048,0.014020
1948,0.000049,0.015224
1949,0.000054,0.017232
1950,0.000051,0.018593
1951,0.000047,0.019763
1952,0.000050,0.020811
1953,0.000060,0.021850
1954,0.000054,0.022249
1955,0.000062,0.022008
1956,0.000058,0.021995
1957,0.000061,0.022071
1958,0.000071,0.021914
1959,0.000069,0.020506
1960,0.000077,0.020263
1961,0.000078,0.020991
1962,0.000088,0.021074
1963,0.000095,0.021163
1964,0.000078,0.021256
1965,0.000098,0.022345
1966,0.000100,0.023014
1967,0.000110,0.024281
1968,0.000140,0.024267
1969,0.000131,0.024511
1970,0.000127,0.023644
1971,0.000134,0.022606
1972,0.000144,0.022713
1973,0.000149,0.022483
1974,0.000173,0.022227
1975,0.000184,0.022666
1976,0.000170,0.022059
1977,0.000176,0.021281
1978,0.000172,0.021155
1979,0.000166,0.020357
1980,0.000158,0.019943
1981,0.000141,0.019879
1982,0.000164,0.019452
1983,0.000167,0.019636
1984,0.000146,0.019418
1985,0.000149,0.018192
1986,0.000166,0.018057
1987,0.000151,0.017656
1988,0.000130,0.017364
1989,0.000094,0.017013
1990,0.000070,0.016525
1991,0.000069,0.015609
1992,0.000067,0.014163
1993,0.000059,0.013145
1994,0.000052,0.011964
1995,0.000046,0.011306
1996,0.000043,0.010520
1997,0.000039,0.010357
1998,0.000035,0.009956
1999,0.000033,0.009182
2000,0.000030,0.008478
2001,0.000026,0.007932
2002,0.000025,0.007560
2003,0.000025,0.007135
2004,0.000039,0.006666
2005,0.000016,0.006198
2006,0.000016,0.005725
2007,0.000013,0.005507
2008,0.000014,0.005253
2009,0.000012,0.004963
2010,0.000010,0.004701
2011,0.000010,0.004599
2012,0.000007,0.004429
2013,0.000011,0.004261
2014,0.000009,0.004179
2015,0.000010,0.003911
2016,0.000009,0.003851
2017,0.000010,0.003550
2018,0.000006,0.003337
2019,0.000010,0.003055
2020,0.000007,0.002940
