year,Mai
1880,6
1881,6
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,5
1892,0
1893,0
1894,0
1895,6
1896,6
1897,0
1898,8
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,5
1906,0
1907,11
1908,0
1909,8
1910,0
1911,6
1912,7
1913,7
1914,12
1915,12
1916,10
1917,10
1918,8
1919,11
1920,15
1921,15
1922,10
1923,12
1924,10
1925,14
1926,13
1927,8
1928,14
1929,17
1930,15
1931,13
1932,8
1933,9
1934,0
1935,13
1936,7
1937,12
1938,9
1939,8
1940,0
1941,7
1942,6
1943,0
1944,9
1945,0
1946,5
1947,6
1948,7
1949,5
1950,8
1951,0
1952,7
1953,9
1954,7
1955,11
1956,12
1957,7
1958,10
1959,6
1960,6
1961,11
1962,9
1963,10
1964,9
1965,11
1966,9
1967,17
1968,9
1969,16
1970,18
1971,21
1972,20
1973,14
1974,18
1975,24
1976,32
1977,24
1978,30
1979,49
1980,71
1981,138
1982,132
1983,147
1984,184
1985,181
1986,164
1987,154
1988,183
1989,246
1990,253
1991,221
1992,201
1993,201
1994,213
1995,165
1996,132
1997,95
1998,89
1999,84
2000,71
2001,74
2002,63
2003,81
2004,74
2005,84
2006,75
2007,69
2008,79
2009,76
2010,58
2011,61
2012,55
