year,Marjory
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,7
1888,0
1889,14
1890,19
1891,16
1892,14
1893,8
1894,15
1895,11
1896,24
1897,17
1898,18
1899,16
1900,26
1901,17
1902,16
1903,17
1904,18
1905,21
1906,22
1907,20
1908,32
1909,27
1910,43
1911,51
1912,70
1913,73
1914,136
1915,179
1916,179
1917,226
1918,251
1919,232
1920,240
1921,294
1922,290
1923,283
1924,282
1925,255
1926,216
1927,205
1928,195
1929,212
1930,187
1931,138
1932,154
1933,132
1934,157
1935,127
1936,137
1937,106
1938,135
1939,97
1940,110
1941,91
1942,99
1943,92
1944,101
1945,67
1946,117
1947,119
1948,94
1949,90
1950,89
1951,78
1952,87
1953,75
1954,67
1955,72
1956,59
1957,58
1958,48
1959,46
1960,33
1961,36
1962,41
1963,30
1964,39
1965,37
1966,15
1967,23
1968,21
1969,23
1970,21
1971,18
1972,19
1973,18
1974,15
1975,18
1976,18
1977,12
1978,16
1979,9
1980,10
1981,10
1982,5
1983,13
1984,9
1985,9
1986,9
1987,10
1988,6
1989,12
1990,5
1991,11
1992,13
1993,7
1994,0
1995,6
1996,12
1997,6
1998,5
1999,0
2000,6
2001,5
2002,0
2003,6
2004,10
2005,9
2006,10
2007,9
2008,9
2009,6
2010,11
2011,5
2012,6
