year,Marcie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,6
1912,7
1913,5
1914,0
1915,5
1916,8
1917,13
1918,6
1919,13
1920,11
1921,19
1922,16
1923,25
1924,12
1925,19
1926,27
1927,24
1928,33
1929,26
1930,34
1931,22
1932,16
1933,26
1934,27
1935,21
1936,20
1937,22
1938,28
1939,29
1940,30
1941,27
1942,25
1943,43
1944,41
1945,51
1946,68
1947,80
1948,74
1949,92
1950,110
1951,174
1952,203
1953,237
1954,228
1955,210
1956,229
1957,268
1958,273
1959,282
1960,271
1961,310
1962,368
1963,363
1964,324
1965,271
1966,289
1967,310
1968,347
1969,445
1970,514
1971,815
1972,618
1973,528
1974,534
1975,468
1976,424
1977,421
1978,406
1979,448
1980,474
1981,438
1982,316
1983,264
1984,233
1985,231
1986,183
1987,154
1988,153
1989,135
1990,118
1991,110
1992,88
1993,71
1994,49
1995,40
1996,42
1997,32
1998,34
1999,37
2000,27
2001,22
2002,35
2003,20
2004,27
2005,28
2006,25
2007,19
2008,18
2009,15
2010,23
2011,14
2012,22
