year,Mahlon
1880,14
1881,7
1882,12
1883,13
1884,12
1885,6
1886,9
1887,6
1888,8
1889,8
1890,5
1891,12
1892,10
1893,5
1894,7
1895,12
1896,18
1897,9
1898,0
1899,9
1900,6
1901,10
1902,11
1903,7
1904,11
1905,8
1906,12
1907,12
1908,10
1909,13
1910,17
1911,20
1912,29
1913,40
1914,36
1915,68
1916,79
1917,90
1918,71
1919,95
1920,93
1921,81
1922,91
1923,90
1924,83
1925,84
1926,80
1927,79
1928,66
1929,79
1930,70
1931,69
1932,70
1933,68
1934,75
1935,62
1936,53
1937,61
1938,63
1939,56
1940,53
1941,65
1942,60
1943,44
1944,52
1945,47
1946,43
1947,52
1948,75
1949,77
1950,45
1951,50
1952,56
1953,50
1954,38
1955,38
1956,39
1957,32
1958,36
1959,42
1960,32
1961,39
1962,29
1963,25
1964,37
1965,28
1966,28
1967,29
1968,23
1969,26
1970,34
1971,25
1972,28
1973,20
1974,23
1975,33
1976,33
1977,33
1978,22
1979,27
1980,30
1981,30
1982,28
1983,31
1984,24
1985,23
1986,31
1987,29
1988,25
1989,30
1990,37
1991,38
1992,31
1993,33
1994,27
1995,32
1996,37
1997,43
1998,34
1999,38
2000,31
2001,42
2002,33
2003,27
2004,28
2005,32
2006,39
2007,47
2008,37
2009,41
2010,44
2011,49
2012,31
