year,Monica
1880,6
1881,10
1882,0
1883,5
1884,8
1885,10
1886,10
1887,13
1888,13
1889,14
1890,17
1891,25
1892,27
1893,25
1894,22
1895,20
1896,36
1897,34
1898,41
1899,30
1900,39
1901,44
1902,33
1903,36
1904,54
1905,53
1906,52
1907,61
1908,62
1909,71
1910,79
1911,83
1912,130
1913,164
1914,156
1915,196
1916,278
1917,252
1918,223
1919,179
1920,215
1921,247
1922,206
1923,199
1924,223
1925,198
1926,191
1927,188
1928,218
1929,182
1930,168
1931,192
1932,215
1933,213
1934,259
1935,332
1936,273
1937,292
1938,270
1939,254
1940,286
1941,261
1942,325
1943,299
1944,342
1945,400
1946,457
1947,613
1948,853
1949,825
1950,1056
1951,1297
1952,1464
1953,1598
1954,1825
1955,1814
1956,2160
1957,2490
1958,2420
1959,2598
1960,3096
1961,3400
1962,4015
1963,4007
1964,4662
1965,5120
1966,4730
1967,4968
1968,5226
1969,6061
1970,6218
1971,6458
1972,6155
1973,6417
1974,6313
1975,5512
1976,6010
1977,6398
1978,5896
1979,6621
1980,6075
1981,5813
1982,5772
1983,5435
1984,5156
1985,5011
1986,5048
1987,4841
1988,4488
1989,4538
1990,4470
1991,4181
1992,4609
1993,3925
1994,3933
1995,3980
1996,4343
1997,4232
1998,3240
1999,2133
2000,1990
2001,1797
2002,1778
2003,1612
2004,1520
2005,1409
2006,1357
2007,1184
2008,1058
2009,971
2010,884
2011,776
2012,718
