year,Marvell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,0
1915,0
1916,10
1917,8
1918,8
1919,6
1920,17
1921,10
1922,12
1923,11
1924,13
1925,9
1926,15
1927,10
1928,6
1929,7
1930,19
1931,13
1932,12
1933,6
1934,15
1935,19
1936,0
1937,5
1938,6
1939,8
1940,8
1941,10
1942,12
1943,6
1944,0
1945,11
1946,17
1947,14
1948,15
1949,5
1950,5
1951,0
1952,7
1953,11
1954,8
1955,6
1956,13
1957,11
1958,5
1959,12
1960,21
1961,12
1962,21
1963,11
1964,8
1965,9
1966,9
1967,9
1968,10
1969,17
1970,18
1971,22
1972,21
1973,18
1974,14
1975,7
1976,13
1977,19
1978,16
1979,15
1980,13
1981,15
1982,14
1983,20
1984,20
1985,24
1986,14
1987,21
1988,16
1989,16
1990,18
1991,25
1992,16
1993,17
1994,19
1995,19
1996,17
1997,26
1998,14
1999,15
2000,15
2001,21
2002,16
2003,12
2004,15
2005,26
2006,24
2007,33
2008,11
2009,30
2010,24
2011,15
2012,18
