year,Muriel
1880,7
1881,11
1882,15
1883,18
1884,22
1885,26
1886,25
1887,29
1888,43
1889,53
1890,58
1891,59
1892,69
1893,87
1894,89
1895,108
1896,144
1897,152
1898,129
1899,167
1900,224
1901,195
1902,206
1903,220
1904,214
1905,186
1906,226
1907,226
1908,262
1909,316
1910,365
1911,353
1912,705
1913,892
1914,1141
1915,1453
1916,1534
1917,1731
1918,1812
1919,1823
1920,2089
1921,2278
1922,2407
1923,2386
1924,2260
1925,2248
1926,2065
1927,1836
1928,1688
1929,1487
1930,1374
1931,1101
1932,1068
1933,886
1934,845
1935,815
1936,705
1937,719
1938,717
1939,599
1940,602
1941,550
1942,537
1943,542
1944,480
1945,396
1946,408
1947,461
1948,397
1949,417
1950,338
1951,344
1952,319
1953,320
1954,272
1955,251
1956,227
1957,217
1958,169
1959,168
1960,167
1961,179
1962,162
1963,176
1964,141
1965,107
1966,110
1967,84
1968,80
1969,67
1970,76
1971,81
1972,46
1973,53
1974,41
1975,55
1976,27
1977,40
1978,49
1979,29
1980,51
1981,32
1982,42
1983,40
1984,36
1985,37
1986,59
1987,48
1988,37
1989,47
1990,37
1991,42
1992,34
1993,42
1994,25
1995,37
1996,45
1997,33
1998,41
1999,23
2000,32
2001,30
2002,38
2003,30
2004,27
2005,27
2006,33
2007,30
2008,31
2009,20
2010,22
2011,20
2012,16
