year,Marceline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,0
1894,6
1895,8
1896,0
1897,0
1898,0
1899,0
1900,12
1901,0
1902,0
1903,12
1904,0
1905,7
1906,12
1907,0
1908,15
1909,9
1910,12
1911,11
1912,20
1913,21
1914,35
1915,37
1916,41
1917,37
1918,30
1919,38
1920,47
1921,49
1922,46
1923,55
1924,68
1925,80
1926,97
1927,166
1928,241
1929,201
1930,126
1931,87
1932,77
1933,60
1934,48
1935,28
1936,26
1937,27
1938,32
1939,24
1940,24
1941,12
1942,16
1943,22
1944,15
1945,8
1946,21
1947,26
1948,19
1949,22
1950,18
1951,24
1952,21
1953,22
1954,16
1955,17
1956,10
1957,8
1958,12
1959,16
1960,17
1961,11
1962,10
1963,9
1964,11
1965,13
1966,9
1967,14
1968,10
1969,12
1970,9
1971,21
1972,5
1973,0
1974,8
1975,8
1976,7
1977,7
1978,10
1979,7
1980,9
1981,9
1982,6
1983,10
1984,7
1985,12
1986,0
1987,9
1988,8
1989,0
1990,9
1991,0
1992,0
1993,6
1994,5
1995,0
1996,7
1997,0
1998,7
1999,6
2000,0
2001,0
2002,8
2003,0
2004,0
2005,0
2006,0
2007,5
2008,8
2009,0
2010,6
2011,12
2012,48
