year,Macy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,7
1886,7
1887,7
1888,0
1889,0
1890,7
1891,10
1892,0
1893,14
1894,5
1895,13
1896,6
1897,12
1898,16
1899,10
1900,15
1901,13
1902,9
1903,5
1904,11
1905,22
1906,17
1907,11
1908,19
1909,19
1910,18
1911,24
1912,13
1913,23
1914,22
1915,23
1916,36
1917,35
1918,33
1919,37
1920,38
1921,46
1922,40
1923,33
1924,29
1925,24
1926,38
1927,37
1928,32
1929,17
1930,30
1931,27
1932,24
1933,15
1934,23
1935,15
1936,15
1937,27
1938,20
1939,22
1940,21
1941,20
1942,14
1943,24
1944,16
1945,6
1946,19
1947,22
1948,18
1949,12
1950,19
1951,15
1952,16
1953,11
1954,23
1955,16
1956,24
1957,22
1958,13
1959,13
1960,17
1961,19
1962,6
1963,14
1964,12
1965,11
1966,19
1967,14
1968,19
1969,39
1970,24
1971,31
1972,41
1973,14
1974,35
1975,16
1976,29
1977,42
1978,47
1979,34
1980,47
1981,52
1982,51
1983,35
1984,51
1985,39
1986,56
1987,85
1988,82
1989,160
1990,359
1991,544
1992,591
1993,630
1994,674
1995,777
1996,743
1997,788
1998,872
1999,988
2000,1379
2001,1313
2002,1451
2003,1494
2004,1429
2005,1368
2006,1213
2007,1231
2008,1214
2009,1162
2010,1113
2011,1060
2012,931
