year,Marianna
1880,0
1881,0
1882,0
1883,6
1884,6
1885,0
1886,0
1887,6
1888,5
1889,0
1890,0
1891,5
1892,6
1893,5
1894,0
1895,0
1896,5
1897,5
1898,9
1899,7
1900,16
1901,6
1902,13
1903,5
1904,9
1905,11
1906,14
1907,20
1908,18
1909,19
1910,30
1911,31
1912,34
1913,33
1914,61
1915,101
1916,94
1917,92
1918,117
1919,111
1920,133
1921,115
1922,139
1923,129
1924,147
1925,114
1926,116
1927,114
1928,119
1929,127
1930,112
1931,101
1932,111
1933,79
1934,78
1935,97
1936,97
1937,86
1938,109
1939,101
1940,100
1941,92
1942,105
1943,114
1944,110
1945,86
1946,95
1947,102
1948,118
1949,84
1950,92
1951,114
1952,120
1953,93
1954,107
1955,109
1956,101
1957,105
1958,94
1959,96
1960,86
1961,92
1962,99
1963,94
1964,98
1965,79
1966,106
1967,103
1968,98
1969,68
1970,91
1971,78
1972,73
1973,84
1974,54
1975,76
1976,70
1977,77
1978,79
1979,87
1980,96
1981,120
1982,95
1983,79
1984,99
1985,91
1986,104
1987,109
1988,104
1989,113
1990,149
1991,134
1992,164
1993,170
1994,185
1995,197
1996,229
1997,260
1998,240
1999,266
2000,292
2001,249
2002,323
2003,329
2004,395
2005,388
2006,416
2007,388
2008,360
2009,348
2010,283
2011,262
2012,283
