year,Mont
1880,13
1881,10
1882,7
1883,15
1884,8
1885,12
1886,7
1887,7
1888,11
1889,11
1890,9
1891,8
1892,8
1893,0
1894,8
1895,8
1896,10
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,5
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,10
1913,5
1914,14
1915,14
1916,21
1917,25
1918,17
1919,10
1920,16
1921,18
1922,18
1923,13
1924,16
1925,10
1926,14
1927,16
1928,11
1929,13
1930,11
1931,12
1932,10
1933,12
1934,10
1935,17
1936,7
1937,8
1938,10
1939,7
1940,8
1941,6
1942,15
1943,13
1944,8
1945,12
1946,5
1947,6
1948,10
1949,14
1950,17
1951,8
1952,12
1953,9
1954,12
1955,12
1956,9
1957,12
1958,17
1959,15
1960,11
1961,12
1962,10
1963,12
1964,9
1965,8
1966,0
1967,12
1968,5
1969,10
1970,12
1971,8
1972,6
1973,0
1974,0
1975,6
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
