year,Mayo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,8
1894,0
1895,8
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,11
1903,5
1904,6
1905,12
1906,0
1907,0
1908,0
1909,8
1910,11
1911,5
1912,19
1913,26
1914,37
1915,53
1916,44
1917,43
1918,37
1919,39
1920,46
1921,54
1922,52
1923,46
1924,41
1925,45
1926,18
1927,33
1928,36
1929,23
1930,31
1931,22
1932,21
1933,25
1934,23
1935,16
1936,12
1937,25
1938,19
1939,20
1940,16
1941,10
1942,22
1943,19
1944,9
1945,12
1946,17
1947,20
1948,14
1949,11
1950,14
1951,18
1952,15
1953,17
1954,10
1955,15
1956,14
1957,19
1958,9
1959,12
1960,9
1961,14
1962,9
1963,8
1964,6
1965,0
1966,7
1967,8
1968,6
1969,10
1970,8
1971,9
1972,6
1973,12
1974,0
1975,0
1976,7
1977,6
1978,5
1979,7
1980,8
1981,14
1982,0
1983,6
1984,6
1985,6
1986,0
1987,5
1988,0
1989,5
1990,8
1991,7
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
