year,Meriam
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,0
1905,0
1906,0
1907,0
1908,9
1909,0
1910,6
1911,0
1912,6
1913,17
1914,9
1915,15
1916,15
1917,29
1918,18
1919,24
1920,33
1921,23
1922,32
1923,35
1924,32
1925,33
1926,20
1927,27
1928,28
1929,18
1930,18
1931,21
1932,13
1933,17
1934,18
1935,14
1936,14
1937,12
1938,10
1939,10
1940,11
1941,11
1942,14
1943,11
1944,7
1945,7
1946,16
1947,17
1948,18
1949,10
1950,12
1951,11
1952,11
1953,9
1954,8
1955,0
1956,9
1957,6
1958,10
1959,7
1960,5
1961,5
1962,9
1963,10
1964,0
1965,5
1966,0
1967,9
1968,5
1969,5
1970,5
1971,0
1972,8
1973,0
1974,0
1975,7
1976,5
1977,5
1978,8
1979,0
1980,5
1981,8
1982,8
1983,6
1984,9
1985,9
1986,0
1987,7
1988,7
1989,5
1990,12
1991,10
1992,0
1993,16
1994,0
1995,11
1996,7
1997,6
1998,8
1999,18
2000,12
2001,19
2002,13
2003,14
2004,14
2005,18
2006,14
2007,19
2008,19
2009,18
2010,13
2011,14
2012,10
