year,Mahala
1880,9
1881,13
1882,25
1883,20
1884,13
1885,17
1886,13
1887,17
1888,23
1889,13
1890,19
1891,22
1892,21
1893,17
1894,19
1895,14
1896,17
1897,17
1898,22
1899,10
1900,17
1901,9
1902,11
1903,14
1904,9
1905,13
1906,22
1907,19
1908,15
1909,16
1910,12
1911,11
1912,19
1913,26
1914,16
1915,24
1916,18
1917,24
1918,21
1919,13
1920,23
1921,18
1922,17
1923,31
1924,19
1925,25
1926,19
1927,20
1928,13
1929,16
1930,16
1931,9
1932,11
1933,9
1934,13
1935,7
1936,0
1937,11
1938,8
1939,9
1940,11
1941,15
1942,21
1943,5
1944,5
1945,9
1946,20
1947,19
1948,9
1949,9
1950,20
1951,13
1952,17
1953,12
1954,13
1955,12
1956,12
1957,9
1958,6
1959,13
1960,0
1961,5
1962,13
1963,5
1964,8
1965,0
1966,9
1967,0
1968,6
1969,5
1970,12
1971,6
1972,8
1973,0
1974,8
1975,7
1976,8
1977,16
1978,12
1979,14
1980,24
1981,9
1982,16
1983,6
1984,12
1985,12
1986,6
1987,11
1988,11
1989,13
1990,21
1991,19
1992,17
1993,19
1994,26
1995,31
1996,35
1997,50
1998,51
1999,68
2000,70
2001,57
2002,62
2003,72
2004,58
2005,64
2006,74
2007,53
2008,60
2009,55
2010,41
2011,32
2012,32
