year,Melva
1880,6
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,8
1888,11
1889,10
1890,12
1891,9
1892,20
1893,10
1894,12
1895,16
1896,17
1897,16
1898,17
1899,21
1900,23
1901,25
1902,29
1903,36
1904,39
1905,45
1906,37
1907,51
1908,54
1909,45
1910,71
1911,57
1912,106
1913,117
1914,135
1915,207
1916,225
1917,220
1918,206
1919,241
1920,279
1921,283
1922,240
1923,291
1924,288
1925,276
1926,270
1927,285
1928,276
1929,300
1930,258
1931,277
1932,295
1933,245
1934,245
1935,276
1936,274
1937,300
1938,313
1939,285
1940,296
1941,268
1942,264
1943,283
1944,220
1945,233
1946,224
1947,247
1948,210
1949,235
1950,221
1951,251
1952,223
1953,209
1954,207
1955,193
1956,201
1957,185
1958,164
1959,124
1960,149
1961,123
1962,123
1963,101
1964,107
1965,110
1966,96
1967,79
1968,68
1969,85
1970,57
1971,88
1972,60
1973,56
1974,60
1975,48
1976,40
1977,50
1978,41
1979,54
1980,52
1981,34
1982,23
1983,30
1984,22
1985,14
1986,17
1987,14
1988,21
1989,17
1990,29
1991,21
1992,8
1993,16
1994,10
1995,10
1996,9
1997,8
1998,0
1999,5
2000,7
2001,0
2002,0
2003,0
2004,7
2005,7
2006,7
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
