year,Micaela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,7
1905,0
1906,8
1907,5
1908,0
1909,9
1910,7
1911,7
1912,13
1913,17
1914,13
1915,17
1916,16
1917,19
1918,24
1919,27
1920,35
1921,30
1922,26
1923,27
1924,46
1925,39
1926,28
1927,38
1928,34
1929,40
1930,34
1931,25
1932,19
1933,19
1934,20
1935,26
1936,23
1937,27
1938,19
1939,21
1940,24
1941,34
1942,24
1943,20
1944,20
1945,23
1946,29
1947,38
1948,44
1949,25
1950,33
1951,25
1952,28
1953,33
1954,30
1955,34
1956,25
1957,24
1958,23
1959,34
1960,21
1961,22
1962,23
1963,21
1964,32
1965,21
1966,34
1967,26
1968,28
1969,33
1970,35
1971,37
1972,53
1973,44
1974,59
1975,57
1976,74
1977,70
1978,66
1979,93
1980,96
1981,104
1982,109
1983,105
1984,120
1985,365
1986,178
1987,196
1988,202
1989,204
1990,245
1991,254
1992,254
1993,345
1994,540
1995,585
1996,555
1997,542
1998,557
1999,482
2000,415
2001,370
2002,322
2003,343
2004,310
2005,297
2006,273
2007,262
2008,278
2009,233
2010,267
2011,212
2012,242
