year,Madalyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,7
1900,9
1901,9
1902,9
1903,5
1904,14
1905,9
1906,14
1907,14
1908,17
1909,11
1910,20
1911,18
1912,37
1913,39
1914,42
1915,64
1916,60
1917,56
1918,77
1919,49
1920,48
1921,81
1922,87
1923,91
1924,68
1925,40
1926,77
1927,57
1928,39
1929,25
1930,42
1931,22
1932,36
1933,32
1934,36
1935,28
1936,26
1937,24
1938,32
1939,27
1940,27
1941,32
1942,44
1943,52
1944,28
1945,32
1946,42
1947,57
1948,66
1949,70
1950,54
1951,35
1952,42
1953,41
1954,41
1955,27
1956,22
1957,28
1958,29
1959,24
1960,28
1961,30
1962,22
1963,23
1964,18
1965,20
1966,16
1967,13
1968,22
1969,24
1970,33
1971,17
1972,37
1973,16
1974,14
1975,18
1976,10
1977,14
1978,13
1979,21
1980,21
1981,26
1982,19
1983,28
1984,9
1985,23
1986,78
1987,102
1988,116
1989,147
1990,152
1991,180
1992,215
1993,241
1994,301
1995,399
1996,444
1997,562
1998,682
1999,615
2000,751
2001,785
2002,832
2003,806
2004,758
2005,875
2006,914
2007,880
2008,1142
2009,973
2010,881
2011,738
2012,691
