year,Marcello
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,6
1915,7
1916,9
1917,7
1918,8
1919,8
1920,9
1921,11
1922,14
1923,16
1924,11
1925,12
1926,11
1927,17
1928,11
1929,13
1930,5
1931,15
1932,16
1933,8
1934,7
1935,9
1936,10
1937,6
1938,13
1939,5
1940,6
1941,0
1942,8
1943,7
1944,0
1945,9
1946,15
1947,5
1948,10
1949,0
1950,12
1951,11
1952,16
1953,11
1954,16
1955,0
1956,11
1957,6
1958,10
1959,13
1960,13
1961,13
1962,19
1963,29
1964,18
1965,50
1966,39
1967,35
1968,42
1969,59
1970,62
1971,57
1972,48
1973,74
1974,50
1975,52
1976,39
1977,30
1978,51
1979,45
1980,52
1981,121
1982,86
1983,54
1984,50
1985,57
1986,52
1987,48
1988,46
1989,51
1990,58
1991,51
1992,47
1993,60
1994,47
1995,74
1996,84
1997,97
1998,90
1999,88
2000,111
2001,99
2002,105
2003,106
2004,126
2005,132
2006,163
2007,182
2008,190
2009,180
2010,173
2011,170
2012,141
