year,Modesta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,7
1903,0
1904,6
1905,8
1906,0
1907,7
1908,6
1909,13
1910,9
1911,8
1912,16
1913,7
1914,18
1915,17
1916,34
1917,25
1918,34
1919,16
1920,27
1921,19
1922,19
1923,27
1924,26
1925,30
1926,41
1927,24
1928,25
1929,23
1930,26
1931,22
1932,30
1933,31
1934,35
1935,20
1936,36
1937,29
1938,28
1939,21
1940,27
1941,29
1942,24
1943,19
1944,21
1945,19
1946,12
1947,19
1948,22
1949,17
1950,15
1951,18
1952,9
1953,12
1954,22
1955,14
1956,12
1957,12
1958,17
1959,14
1960,22
1961,14
1962,13
1963,10
1964,18
1965,18
1966,18
1967,12
1968,11
1969,11
1970,14
1971,10
1972,9
1973,8
1974,16
1975,13
1976,13
1977,10
1978,11
1979,14
1980,8
1981,12
1982,0
1983,7
1984,12
1985,9
1986,14
1987,6
1988,5
1989,9
1990,6
1991,5
1992,9
1993,11
1994,0
1995,8
1996,0
1997,6
1998,0
1999,5
2000,8
2001,9
2002,10
2003,6
2004,8
2005,0
2006,7
2007,6
2008,5
2009,0
2010,0
2011,5
2012,0
