year,Meryl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,5
1894,0
1895,0
1896,5
1897,6
1898,9
1899,0
1900,0
1901,5
1902,7
1903,7
1904,0
1905,8
1906,8
1907,0
1908,9
1909,5
1910,8
1911,8
1912,26
1913,18
1914,16
1915,29
1916,34
1917,38
1918,40
1919,33
1920,45
1921,39
1922,37
1923,54
1924,49
1925,52
1926,43
1927,39
1928,49
1929,39
1930,49
1931,56
1932,39
1933,41
1934,32
1935,32
1936,45
1937,21
1938,34
1939,37
1940,15
1941,44
1942,38
1943,44
1944,54
1945,75
1946,83
1947,108
1948,119
1949,130
1950,130
1951,127
1952,146
1953,139
1954,143
1955,134
1956,156
1957,150
1958,93
1959,108
1960,100
1961,84
1962,76
1963,78
1964,70
1965,51
1966,45
1967,39
1968,37
1969,46
1970,34
1971,21
1972,31
1973,20
1974,18
1975,14
1976,17
1977,7
1978,12
1979,24
1980,63
1981,46
1982,68
1983,72
1984,71
1985,71
1986,79
1987,64
1988,69
1989,59
1990,49
1991,30
1992,45
1993,33
1994,39
1995,33
1996,26
1997,25
1998,31
1999,24
2000,19
2001,11
2002,20
2003,22
2004,15
2005,25
2006,25
2007,22
2008,17
2009,27
2010,18
2011,17
2012,34
