year,Mandy
1880,34
1881,40
1882,41
1883,35
1884,40
1885,55
1886,69
1887,37
1888,58
1889,44
1890,48
1891,46
1892,56
1893,50
1894,56
1895,52
1896,53
1897,36
1898,50
1899,43
1900,76
1901,54
1902,51
1903,52
1904,51
1905,67
1906,50
1907,51
1908,48
1909,61
1910,72
1911,59
1912,61
1913,52
1914,89
1915,83
1916,97
1917,79
1918,111
1919,100
1920,89
1921,103
1922,89
1923,91
1924,77
1925,98
1926,84
1927,91
1928,71
1929,47
1930,54
1931,61
1932,60
1933,51
1934,44
1935,38
1936,47
1937,42
1938,39
1939,48
1940,42
1941,41
1942,48
1943,51
1944,43
1945,38
1946,42
1947,47
1948,42
1949,39
1950,41
1951,41
1952,40
1953,41
1954,36
1955,42
1956,91
1957,141
1958,129
1959,145
1960,147
1961,147
1962,186
1963,175
1964,233
1965,185
1966,193
1967,196
1968,225
1969,215
1970,234
1971,294
1972,324
1973,383
1974,446
1975,2718
1976,2937
1977,3115
1978,3121
1979,2736
1980,2235
1981,2098
1982,1723
1983,1351
1984,1092
1985,1277
1986,1062
1987,963
1988,796
1989,591
1990,525
1991,423
1992,351
1993,338
1994,275
1995,251
1996,263
1997,240
1998,165
1999,221
2000,216
2001,233
2002,238
2003,246
2004,291
2005,269
2006,241
2007,227
2008,147
2009,149
2010,104
2011,100
2012,101
