year,Mazie
1880,11
1881,14
1882,17
1883,27
1884,29
1885,28
1886,31
1887,32
1888,44
1889,39
1890,41
1891,38
1892,48
1893,61
1894,59
1895,62
1896,68
1897,59
1898,55
1899,58
1900,79
1901,56
1902,66
1903,62
1904,73
1905,70
1906,62
1907,71
1908,71
1909,65
1910,80
1911,81
1912,114
1913,93
1914,128
1915,107
1916,164
1917,187
1918,170
1919,163
1920,166
1921,161
1922,174
1923,174
1924,149
1925,149
1926,142
1927,159
1928,138
1929,99
1930,94
1931,92
1932,97
1933,87
1934,81
1935,86
1936,78
1937,71
1938,72
1939,70
1940,64
1941,72
1942,85
1943,70
1944,61
1945,52
1946,58
1947,44
1948,48
1949,38
1950,36
1951,20
1952,37
1953,33
1954,28
1955,31
1956,28
1957,30
1958,21
1959,16
1960,11
1961,13
1962,14
1963,8
1964,9
1965,11
1966,12
1967,12
1968,5
1969,6
1970,13
1971,7
1972,12
1973,12
1974,0
1975,6
1976,6
1977,7
1978,7
1979,11
1980,5
1981,5
1982,0
1983,6
1984,8
1985,0
1986,5
1987,6
1988,0
1989,5
1990,11
1991,27
1992,26
1993,22
1994,24
1995,21
1996,32
1997,34
1998,30
1999,45
2000,39
2001,42
2002,64
2003,53
2004,54
2005,76
2006,79
2007,80
2008,96
2009,114
2010,88
2011,98
2012,88
